Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
Maluku Utara,Maluku,0,0,1,-1,2,0,1,1,1307803,0,2,0,0,0,50,0,1,1
Papua,Papua,0,0,0,0,36,4,6,26,4340348,0,8,0,1,11,17,0,1,1
Sulawesi Selatan,Sulawesi,6,0,0,6,132,11,29,92,9426885,1,14,0,1,8,22,1,0,1
Sulawesi Tenggara,Sulawesi,5,0,0,5,15,0,1,14,2635461,2,6,0,0,0,7,1,1,1
Sulawesi Utara,Sulawesi,0,0,0,0,8,3,5,0,2641884,0,3,0,1,38,62,1,1,1
Sumatera Utara,Sumatera,0,0,0,0,48,5,10,33,14874889,0,3,0,0,10,21,0,1,1
Aceh,Sumatera,0,0,0,0,5,0,2,3,5247257,0,1,0,0,0,40,1,1,1
Bali,Nusa Tenggara,12,0,1,11,70,2,10,58,4216171,3,17,0,0,3,14,1,1,1
Banten,Jawa,21,1,4,16,169,40,233,-104,10722374,2,16,0,4,24,138,5,0,1
Bengkulu,Sumatera,0,0,0,0,4,1,0,3,1999539,0,2,0,0,25,0,0,1,1
DKI Jakarta,Jawa,53,11,4,38,1339,211,147,981,10846145,5,123,1,19,16,11,0,0,1
Daerah Istimewa Yogyakarta,Jawa,3,0,3,0,37,6,15,16,3631015,1,10,0,2,16,41,1,1,1
Jawa Barat,Jawa,10,0,1,9,352,60,108,184,45161325,0,8,0,1,17,31,1,0,1
Jawa Tengah,Jawa,2,0,0,2,234,45,58,131,36364072,0,6,0,1,19,25,0,0,1
Jawa Timur,Jawa,30,4,34,-8,308,113,659,-464,40479023,1,8,0,3,37,214,1,0,1
Kalimantan Timur,Kalimantan,4,0,0,4,33,1,9,23,3552191,1,9,0,0,3,27,4,1,1
Kalimantan Utara,Kalimantan,0,0,0,0,16,0,0,16,648407,0,25,0,0,0,0,1,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,4,1,0,3,1379767,0,3,0,1,25,0,0,1,1
Kepulauan Riau,Sumatera,0,0,0,0,21,4,4,13,1929400,0,11,0,2,19,19,0,1,1
Lampung,Sumatera,5,0,0,5,20,5,2,13,9095591,1,2,0,1,25,10,5,1,1
Maluku,Maluku,0,0,0,0,3,1,2,0,1847097,0,2,0,1,33,67,1,1,1
Maluku Utara,Maluku,0,0,0,0,2,0,1,1,1307803,0,2,0,0,0,50,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,9,0,0,9,22,0,2,20,5270247,2,4,0,0,0,9,2,1,1
Nusa Tenggara Timur,Nusa Tenggara,0,0,0,0,1,0,0,1,5411321,0,0,0,0,0,0,0,1,1
Riau,Sumatera,1,0,1,0,14,3,3,8,6074100,0,2,0,0,21,21,1,0,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,15,0,1,14,2635461,0,6,0,0,0,7,0,1,1
Sumatera Selatan,Sumatera,1,0,0,1,18,2,2,14,8217551,0,2,0,0,11,11,1,1,1
Bali,Nusa Tenggara,4,0,0,4,74,2,10,62,4216171,1,18,0,0,3,14,0,1,1
Banten,Jawa,31,2,20,9,200,42,253,-95,10722374,3,19,0,4,21,127,1,2,1
Bengkulu,Sumatera,0,0,0,0,4,1,0,3,1999539,0,2,0,0,25,0,1,1,1
DKI Jakarta,Jawa,190,10,7,173,1529,221,154,1154,10846145,18,141,1,20,14,10,4,1,1
Daerah Istimewa Yogyakarta,Jawa,0,0,0,0,37,6,15,16,3631015,0,10,0,2,16,41,0,1,1
Gorontalo,Sulawesi,0,0,0,0,1,0,0,1,1180651,0,1,0,0,0,0,0,1,1
Jawa Timur,Jawa,15,9,27,-21,323,122,686,-485,40479023,0,8,0,3,38,212,0,2,1
Kalimantan Tengah,Kalimantan,0,0,0,0,24,3,46,-25,2570289,0,9,0,1,12,192,0,1,1
Kalimantan Timur,Kalimantan,0,0,0,0,33,1,9,23,3552191,0,9,0,0,3,27,0,1,1
Lampung,Sumatera,0,0,2,-2,20,5,4,11,9095591,0,2,0,1,25,20,0,1,1
Nusa Tenggara Timur,Nusa Tenggara,0,0,0,0,1,0,0,1,5411321,0,0,0,0,0,0,1,1,1
Riau,Sumatera,3,0,1,2,17,3,4,10,6074100,0,3,0,0,18,24,3,1,1
Sulawesi Selatan,Sulawesi,11,6,0,5,176,18,29,129,9426885,1,19,1,2,10,16,0,6,1
Sulawesi Tengah,Sulawesi,5,0,0,5,19,2,2,15,2955567,2,6,0,1,11,11,1,1,1
Sulawesi Utara,Sulawesi,0,0,1,-1,13,4,6,3,2641884,0,5,0,2,31,46,0,0,1
Sumatera Barat,Sumatera,0,0,0,0,31,3,6,22,5519245,0,6,0,1,10,19,0,0,1
Sumatera Selatan,Sumatera,0,0,0,0,18,2,2,14,8217551,0,2,0,0,11,11,0,1,1
Bali,Nusa Tenggara,2,0,0,2,76,2,10,64,4216171,0,18,0,0,3,13,0,1,1
Banten,Jawa,2,1,7,-6,202,43,260,-101,10722374,0,19,0,4,21,129,0,0,1
DKI Jakarta,Jawa,156,33,37,86,1685,254,191,1240,10846145,14,155,3,23,15,11,1,3,1
Gorontalo,Sulawesi,0,0,0,0,1,0,0,1,1180651,0,1,0,0,0,0,1,1,1
Jambi,Sumatera,0,0,0,0,4,0,4,0,3493357,0,1,0,0,0,100,0,1,1
Jawa Barat,Jawa,17,4,2,11,398,68,114,216,45161325,0,9,0,2,17,29,1,1,1
Jawa Tengah,Jawa,57,1,1,55,298,47,59,192,36364072,2,8,0,1,16,20,8,1,1
Jawa Timur,Jawa,111,1,7,103,434,123,693,-382,40479023,3,11,0,3,28,160,7,0,1
Kalimantan Tengah,Kalimantan,0,0,0,0,24,3,46,-25,2570289,0,9,0,1,12,192,1,1,1
Kalimantan Timur,Kalimantan,0,0,0,0,33,1,9,23,3552191,0,9,0,0,3,27,1,1,1
Kalimantan Utara,Kalimantan,0,0,0,0,16,1,0,15,648407,0,25,0,2,6,0,1,0,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,5,1,0,4,1379767,0,4,0,1,20,0,0,1,1
Kepulauan Riau,Sumatera,0,0,0,0,21,6,4,11,1929400,0,11,0,3,29,19,1,0,1
Lampung,Sumatera,0,0,0,0,20,5,4,11,9095591,0,2,0,1,25,20,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,9,0,0,9,33,2,2,29,5270247,2,6,0,0,6,6,4,0,1
Papua,Papua,1,0,2,-1,61,5,11,45,4340348,0,14,0,1,8,18,0,1,1
Riau,Sumatera,0,0,0,0,17,3,4,10,6074100,0,3,0,0,18,24,0,1,1
Sulawesi Barat,Sulawesi,0,0,0,0,5,1,1,3,1559984,0,3,0,1,20,20,0,0,1
Sulawesi Selatan,Sulawesi,45,0,0,45,221,18,29,174,9426885,5,23,0,2,8,13,4,0,1
Sulawesi Tengah,Sulawesi,0,0,0,0,19,2,2,15,2955567,0,6,0,1,11,11,0,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,16,1,1,14,2635461,0,6,0,0,6,6,0,0,1
Sumatera Selatan,Sumatera,0,0,2,-2,18,2,4,12,8217551,0,2,0,0,11,22,1,1,1
Aceh,Sumatera,0,0,2,-2,5,0,4,1,5247257,0,1,0,0,0,80,1,1,1
Bali,Nusa Tenggara,5,0,0,5,81,2,10,69,4216171,1,19,0,0,2,12,2,1,1
Banten,Jawa,4,2,9,-7,206,45,269,-108,10722374,0,19,0,4,22,131,2,2,1
DKI Jakarta,Jawa,135,7,1,127,1820,261,192,1367,10846145,12,168,1,24,14,11,1,0,1
Daerah Istimewa Yogyakarta,Jawa,16,0,0,16,54,6,20,28,3631015,4,15,0,2,11,37,16,1,1
Jambi,Sumatera,0,0,0,0,4,0,4,0,3493357,0,1,0,0,0,100,1,1,1
Jawa Barat,Jawa,59,3,1,55,457,71,115,271,45161325,1,10,0,2,16,25,3,1,1
Jawa Tengah,Jawa,13,1,3,9,311,48,62,201,36364072,0,9,0,1,15,20,0,1,1
Jawa Timur,Jawa,52,3,6,43,486,126,699,-339,40479023,1,12,0,3,26,144,0,3,1
Kalimantan Barat,Kalimantan,0,0,0,0,13,3,4,6,5422814,0,2,0,1,23,31,0,1,1
Kalimantan Selatan,Kalimantan,1,0,1,0,34,5,4,25,4023049,0,8,0,1,15,12,0,1,1
Kalimantan Utara,Kalimantan,0,0,0,0,16,1,0,15,648407,0,25,0,2,6,0,1,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,5,1,0,4,1379767,0,4,0,1,20,0,1,1,1
Kepulauan Riau,Sumatera,0,0,0,0,21,6,4,11,1929400,0,11,0,3,29,19,1,1,1
Maluku,Maluku,0,0,0,0,11,1,2,8,1847097,0,6,0,1,9,18,0,1,1
Nusa Tenggara Barat,Nusa Tenggara,3,0,0,3,36,2,2,32,5270247,1,7,0,0,6,6,0,1,1
Papua,Papua,6,0,0,6,67,5,11,51,4340348,1,15,0,1,7,16,6,1,1
Sulawesi Barat,Sulawesi,0,0,0,0,5,1,1,3,1559984,0,3,0,1,20,20,1,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,16,1,1,14,2635461,0,6,0,0,6,6,1,1,1
Sulawesi Utara,Sulawesi,0,0,0,0,17,4,6,7,2641884,0,6,0,2,24,35,0,1,1
Sumatera Barat,Sumatera,1,0,0,1,45,3,7,35,5519245,0,8,0,1,7,16,0,1,1
Sumatera Selatan,Sumatera,0,0,0,0,18,2,4,12,8217551,0,2,0,0,11,22,1,1,1
Aceh,Sumatera,0,0,0,0,5,0,4,1,5247257,0,1,0,0,0,80,1,1,1
Bali,Nusa Tenggara,6,0,0,6,87,2,10,75,4216171,1,21,0,0,2,11,1,1,1
Banten,Jawa,6,2,3,1,212,47,272,-107,10722374,1,20,0,4,22,128,2,1,1
DKI Jakarta,Jawa,122,10,0,112,1942,271,192,1479,10846145,11,179,1,25,14,10,1,1,1
Daerah Istimewa Yogyakarta,Jawa,5,0,4,1,59,6,24,29,3631015,1,16,0,2,10,41,0,1,1
Jawa Barat,Jawa,4,1,5,-2,461,72,120,269,45161325,0,10,0,2,16,26,0,0,1
Jawa Tengah,Jawa,81,1,3,77,392,49,65,278,36364072,2,11,0,1,12,17,6,1,1
Jawa Timur,Jawa,36,2,10,24,522,128,709,-315,40479023,1,13,0,3,25,136,1,1,1
Kalimantan Barat,Kalimantan,0,0,2,-2,13,3,6,4,5422814,0,2,0,1,23,46,1,1,1
Lampung,Sumatera,0,0,0,0,21,5,4,12,9095591,0,2,0,1,24,19,0,1,1
Maluku,Maluku,0,0,0,0,11,1,2,8,1847097,0,6,0,1,9,18,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,0,0,36,2,2,32,5270247,0,7,0,0,6,6,0,1,1
Papua,Papua,0,0,0,0,67,5,11,51,4340348,0,15,0,1,7,16,0,1,1
Riau,Sumatera,0,0,0,0,20,3,4,13,6074100,0,3,0,0,15,20,0,1,1
Sulawesi Tengah,Sulawesi,0,0,0,0,19,3,2,14,2955567,0,6,0,1,16,11,1,0,1
Sulawesi Utara,Sulawesi,0,0,2,-2,17,4,8,5,2641884,0,6,0,2,24,47,1,1,1
Sumatera Utara,Sumatera,5,0,1,4,72,9,20,43,14874889,0,5,0,1,12,28,2,0,1
Bali,Nusa Tenggara,6,0,0,6,93,2,10,81,4216171,1,22,0,0,2,11,1,1,1
Banten,Jawa,1,1,8,-8,213,48,280,-115,10722374,0,20,0,4,23,131,0,0,1
DKI Jakarta,Jawa,143,9,20,114,2085,280,212,1593,10846145,13,192,1,26,13,10,1,1,1
Daerah Istimewa Yogyakarta,Jawa,1,0,0,1,60,6,24,30,3631015,0,17,0,2,10,40,0,1,1
Jambi,Sumatera,1,0,0,1,6,0,4,2,3493357,0,2,0,0,0,67,1,1,1
Jawa Barat,Jawa,30,0,2,28,491,72,122,297,45161325,1,11,0,2,15,25,8,0,1
Jawa Tengah,Jawa,25,2,2,21,417,51,67,299,36364072,1,11,0,1,12,16,0,2,1
Jawa Timur,Jawa,25,4,4,17,547,132,713,-298,40479023,1,14,0,3,24,130,1,2,1
Kalimantan Barat,Kalimantan,0,0,0,0,13,3,6,4,5422814,0,2,0,1,23,46,1,1,1
Kalimantan Selatan,Kalimantan,12,0,1,11,49,7,5,37,4023049,3,12,0,2,14,10,4,0,1
Kepulauan Riau,Sumatera,5,0,3,2,32,8,7,17,1929400,3,17,0,4,25,22,1,0,1
Lampung,Sumatera,0,0,0,0,21,5,4,12,9095591,0,2,0,1,24,19,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,0,0,0,0,36,2,2,32,5270247,0,7,0,0,6,6,1,1,1
Sulawesi Selatan,Sulawesi,10,1,9,0,239,23,48,168,9426885,1,25,0,2,10,20,1,0,1
Sumatera Barat,Sumatera,7,0,1,6,55,4,8,43,5519245,1,10,0,1,7,15,2,0,1
Sumatera Selatan,Sumatera,3,0,0,3,22,2,4,16,8217551,0,3,0,0,9,18,3,1,1
Sumatera Utara,Sumatera,6,0,0,6,78,9,20,49,14874889,0,5,0,1,12,26,1,1,1
Bali,Nusa Tenggara,15,0,2,13,108,2,12,94,4216171,4,26,0,0,2,11,2,1,1
Banten,Jawa,15,0,4,11,228,48,284,-104,10722374,1,21,0,4,21,125,15,0,1
DKI Jakarta,Jawa,174,1,0,173,2259,281,212,1766,10846145,16,208,0,26,12,9,1,0,1
Daerah Istimewa Yogyakarta,Jawa,1,0,0,1,61,6,24,31,3631015,0,17,0,2,10,39,1,1,1
Jambi,Sumatera,1,0,0,1,7,0,4,3,3493357,0,2,0,0,0,57,1,1,1
Jawa Tengah,Jawa,15,3,4,8,432,54,71,307,36364072,0,12,0,1,12,16,1,2,1
Jawa Timur,Jawa,13,4,3,6,560,136,716,-292,40479023,0,14,0,3,24,128,1,1,1
Kalimantan Selatan,Kalimantan,9,0,4,5,58,7,9,42,4023049,2,14,0,2,12,16,1,1,1
Kalimantan Tengah,Kalimantan,1,0,0,1,34,4,47,-17,2570289,0,13,0,2,12,138,0,1,1
Kalimantan Utara,Kalimantan,8,0,1,7,28,1,2,25,648407,12,43,0,2,4,7,2,1,1
Kepulauan Bangka Belitung,Sumatera,1,0,0,1,7,1,0,6,1379767,1,5,0,1,14,0,1,1,1
Kepulauan Riau,Sumatera,7,0,0,7,39,8,7,24,1929400,4,20,0,4,21,18,1,1,1
Maluku,Maluku,0,0,0,0,14,1,2,11,1847097,0,8,0,1,7,14,0,1,1
Maluku Utara,Maluku,0,0,0,0,4,0,2,2,1307803,0,3,0,0,0,50,0,1,1
Sulawesi Barat,Sulawesi,0,0,0,0,7,1,1,5,1559984,0,4,0,1,14,14,0,1,1
Sulawesi Selatan,Sulawesi,27,2,0,25,266,25,48,193,9426885,3,28,0,3,9,18,3,2,1
Sulawesi Tengah,Sulawesi,0,0,0,0,22,3,2,17,2955567,0,7,0,1,14,9,0,1,1
Sulawesi Tenggara,Sulawesi,3,0,0,3,27,1,4,22,2635461,1,10,0,0,4,15,0,1,1
Sulawesi Utara,Sulawesi,0,0,1,-1,18,4,9,5,2641884,0,7,0,2,22,50,0,1,1
Sumatera Barat,Sumatera,0,0,0,0,55,4,8,43,5519245,0,10,0,1,7,15,0,1,1
Sumatera Selatan,Sumatera,18,0,0,18,40,2,4,34,8217551,2,5,0,0,5,10,6,1,1
Sumatera Utara,Sumatera,1,0,3,-2,79,9,23,47,14874889,0,5,0,1,11,29,0,1,1
Bali,Nusa Tenggara,11,0,1,10,119,2,13,104,4216171,3,28,0,0,2,11,1,1,1
DKI Jakarta,Jawa,170,7,35,128,2429,288,247,1894,10846145,16,224,1,27,12,10,1,7,1
Gorontalo,Sulawesi,0,0,0,0,4,0,0,4,1180651,0,3,0,0,0,0,0,1,1
Jambi,Sumatera,1,0,0,1,8,0,4,4,3493357,0,2,0,0,0,50,1,1,1
Jawa Barat,Jawa,42,4,17,21,540,77,152,311,45161325,1,12,0,2,14,28,6,4,1
Jawa Tengah,Jawa,14,4,16,-6,446,58,87,301,36364072,0,12,0,2,13,20,1,1,1
Jawa Timur,Jawa,10,6,3,1,570,142,719,-291,40479023,0,14,0,4,25,126,1,2,1
Kalimantan Barat,Kalimantan,0,0,0,0,21,3,6,12,5422814,0,4,0,1,14,29,0,1,1
Kalimantan Selatan,Kalimantan,15,0,0,15,73,7,9,57,4023049,4,18,0,2,10,12,2,1,1
Kalimantan Tengah,Kalimantan,1,0,0,1,35,4,47,-16,2570289,0,14,0,2,11,134,1,1,1
Kalimantan Timur,Kalimantan,0,0,1,-1,42,1,15,26,3552191,0,12,0,0,2,36,0,1,1
Kalimantan Utara,Kalimantan,19,0,0,19,47,1,2,44,648407,29,72,0,2,2,4,2,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,7,1,0,6,1379767,0,5,0,1,14,0,0,1,1
Kepulauan Riau,Sumatera,19,0,1,18,58,8,8,42,1929400,10,30,0,4,14,14,3,1,1
Lampung,Sumatera,0,0,0,0,26,5,4,17,9095591,0,3,0,1,19,15,0,1,1
Maluku,Maluku,0,0,0,0,14,1,2,11,1847097,0,8,0,1,7,14,1,1,1
Maluku Utara,Maluku,0,0,0,0,4,0,2,2,1307803,0,3,0,0,0,50,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,6,0,0,6,50,2,2,46,5270247,1,9,0,0,4,4,1,1,1
Papua,Papua,9,0,0,9,89,7,16,66,4340348,2,21,0,2,8,18,2,0,1
Papua Barat,Papua,0,0,0,0,5,1,1,3,1140701,0,4,0,1,20,20,0,1,1
Riau,Sumatera,1,0,0,1,26,5,11,10,6074100,0,4,0,1,19,42,0,1,1
Sulawesi Barat,Sulawesi,0,0,0,0,7,1,1,5,1559984,0,4,0,1,14,14,1,1,1
Sulawesi Selatan,Sulawesi,65,2,2,61,331,27,50,254,9426885,7,35,0,3,8,15,2,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,27,1,4,22,2635461,0,10,0,0,4,15,0,1,1
Sulawesi Utara,Sulawesi,0,0,0,0,18,4,9,5,2641884,0,7,0,2,22,50,1,1,1
Sumatera Selatan,Sumatera,14,0,0,14,54,2,4,48,8217551,2,7,0,0,4,7,1,1,1
Sumatera Utara,Sumatera,0,0,0,0,79,9,23,47,14874889,0,5,0,1,11,29,0,1,1
Bali,Nusa Tenggara,7,0,1,6,126,2,14,110,4216171,2,30,0,0,2,11,1,1,1
Banten,Jawa,12,1,4,7,249,50,296,-97,10722374,1,23,0,5,20,119,1,1,1
Bengkulu,Sumatera,0,0,1,-1,4,1,1,2,1999539,0,2,0,0,25,25,1,1,1
DKI Jakarta,Jawa,101,7,1,93,2530,295,248,1987,10846145,9,233,1,27,12,10,1,1,1
Daerah Istimewa Yogyakarta,Jawa,3,0,2,1,65,7,29,29,3631015,1,18,0,2,11,45,3,0,1
Gorontalo,Sulawesi,0,0,0,0,4,0,0,4,1180651,0,3,0,0,0,0,1,1,1
Jambi,Sumatera,0,0,1,-1,8,0,5,3,3493357,0,2,0,0,0,62,0,1,1
Jawa Barat,Jawa,11,0,4,7,551,77,156,318,45161325,0,12,0,2,14,28,0,0,1
Jawa Tengah,Jawa,38,0,7,31,484,58,94,332,36364072,1,13,0,2,12,19,3,0,1
Jawa Timur,Jawa,34,3,7,24,604,145,726,-267,40479023,1,15,0,4,24,120,3,0,1
Kalimantan Barat,Kalimantan,0,0,0,0,21,3,6,12,5422814,0,4,0,1,14,29,1,1,1
Kalimantan Selatan,Kalimantan,18,0,1,17,91,7,10,74,4023049,4,23,0,2,8,11,1,1,1
Kalimantan Utara,Kalimantan,3,0,0,3,50,1,2,47,648407,5,77,0,2,2,4,0,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,1,-1,7,1,1,5,1379767,0,5,0,1,14,14,1,1,1
Kepulauan Riau,Sumatera,21,0,0,21,79,8,8,63,1929400,11,41,0,4,10,10,1,1,1
Lampung,Sumatera,0,0,0,0,26,5,4,17,9095591,0,3,0,1,19,15,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,4,0,0,4,54,2,2,50,5270247,1,10,0,0,4,4,1,1,1
Papua,Papua,6,0,0,6,95,7,16,72,4340348,1,22,0,2,7,17,1,1,1
Papua Barat,Papua,0,0,0,0,5,1,1,3,1140701,0,4,0,1,20,20,1,1,1
Riau,Sumatera,4,0,0,4,30,5,11,14,6074100,1,5,0,1,17,37,4,1,1
Sulawesi Selatan,Sulawesi,10,2,5,3,341,29,55,257,9426885,1,36,0,3,9,16,0,1,1
Sulawesi Tengah,Sulawesi,0,0,0,0,24,3,2,19,2955567,0,8,0,1,12,8,0,1,1
Sumatera Barat,Sumatera,9,1,2,6,71,7,13,51,5519245,2,13,0,1,10,18,1,0,1
Sumatera Utara,Sumatera,0,0,0,0,79,9,23,47,14874889,0,5,0,1,11,29,1,1,1
Aceh,Sumatera,1,0,0,1,7,0,4,3,5247257,0,1,0,0,0,57,1,1,1
Bali,Nusa Tenggara,4,0,2,2,130,2,16,112,4216171,1,31,0,0,2,12,1,1,1
Banten,Jawa,3,0,4,-1,252,50,300,-98,10722374,0,24,0,5,20,119,0,0,1
Bengkulu,Sumatera,0,0,0,0,4,1,1,2,1999539,0,2,0,0,25,25,1,1,1
DKI Jakarta,Jawa,113,3,25,85,2643,298,273,2072,10846145,10,244,0,27,11,10,1,0,1
Daerah Istimewa Yogyakarta,Jawa,1,0,1,0,66,7,30,29,3631015,0,18,0,2,11,45,0,1,1
Jambi,Sumatera,0,0,0,0,8,0,5,3,3493357,0,2,0,0,0,62,1,1,1
Jawa Timur,Jawa,43,6,2,35,647,151,728,-232,40479023,1,16,0,4,23,113,1,2,1
Kalimantan Selatan,Kalimantan,4,0,0,4,95,7,10,78,4023049,1,24,0,2,7,11,0,1,1
Kalimantan Tengah,Kalimantan,5,0,0,5,46,5,47,-6,2570289,2,18,0,2,11,102,1,0,1
Kalimantan Timur,Kalimantan,5,0,0,5,57,1,15,41,3552191,1,16,0,0,2,26,0,1,1
Kalimantan Utara,Kalimantan,19,0,0,19,69,1,2,66,648407,29,106,0,2,1,3,6,1,1
Kepulauan Riau,Sumatera,0,0,1,-1,79,8,9,62,1929400,0,41,0,4,10,11,0,1,1
Maluku,Maluku,0,0,0,0,17,1,7,9,1847097,0,9,0,1,6,41,0,1,1
Papua,Papua,12,0,0,12,107,7,16,84,4340348,3,25,0,2,7,15,2,1,1
Riau,Sumatera,0,0,0,0,30,5,11,14,6074100,0,5,0,1,17,37,0,1,1
Sulawesi Selatan,Sulawesi,27,1,10,16,368,30,65,273,9426885,3,39,0,3,8,18,3,0,1
Sulawesi Utara,Sulawesi,0,0,0,0,20,4,9,7,2641884,0,8,0,2,20,45,0,1,1
Sumatera Barat,Sumatera,1,0,0,1,72,7,13,52,5519245,0,13,0,1,10,18,0,0,1
Sumatera Selatan,Sumatera,5,0,0,5,89,3,4,82,8217551,1,11,0,0,3,4,0,0,1
Aceh,Sumatera,0,0,0,0,7,0,4,3,5247257,0,1,0,0,0,57,0,1,1
Bali,Nusa Tenggara,5,0,4,1,135,2,20,113,4216171,1,32,0,0,1,15,1,1,1
Banten,Jawa,30,0,8,22,282,50,308,-76,10722374,3,26,0,5,18,109,10,1,1
DKI Jakarta,Jawa,74,5,7,62,2717,303,280,2134,10846145,7,250,0,28,11,10,1,2,1
Daerah Istimewa Yogyakarta,Jawa,2,0,0,2,68,7,30,31,3631015,1,19,0,2,10,44,2,1,1
Jawa Barat,Jawa,7,4,5,-2,608,82,174,352,45161325,0,13,0,2,13,29,0,4,1
Jawa Tengah,Jawa,7,2,7,-2,515,62,101,352,36364072,0,14,0,2,12,20,0,1,1
Jawa Timur,Jawa,5,3,1,1,652,154,729,-231,40479023,0,16,0,4,24,112,0,0,1
Kalimantan Selatan,Kalimantan,0,0,0,0,95,7,10,78,4023049,0,24,0,2,7,11,0,1,1
Kalimantan Timur,Kalimantan,4,0,0,4,61,1,15,45,3552191,1,17,0,0,2,25,1,1,1
Kalimantan Utara,Kalimantan,4,0,0,4,73,1,2,70,648407,6,113,0,2,1,3,0,1,1
Kepulauan Bangka Belitung,Sumatera,0,0,0,0,8,1,1,6,1379767,0,6,0,1,12,12,0,1,1
Maluku,Maluku,0,0,4,-4,17,1,11,5,1847097,0,9,0,1,6,65,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,11,1,0,10,71,4,11,56,5270247,2,13,0,1,6,15,2,1,1
Papua,Papua,0,0,14,-14,107,7,30,70,4340348,0,25,0,2,7,28,0,1,1
Papua Barat,Papua,0,0,0,0,7,1,1,5,1140701,0,6,0,1,14,14,0,1,1
Sulawesi Selatan,Sulawesi,0,1,9,-10,368,31,74,263,9426885,0,39,0,3,8,20,0,1,1
Sulawesi Tengah,Sulawesi,0,0,0,0,27,3,2,22,2955567,0,9,0,1,11,7,0,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,36,2,4,30,2635461,0,14,0,1,6,11,0,1,1
Sulawesi Utara,Sulawesi,0,0,0,0,20,4,9,7,2641884,0,8,0,2,20,45,1,1,1
Sumatera Barat,Sumatera,2,0,1,1,74,7,14,53,5519245,0,13,0,1,9,19,2,1,1
Sumatera Selatan,Sumatera,0,0,0,0,89,3,4,82,8217551,0,11,0,0,3,4,0,1,1
Aceh,Sumatera,0,0,0,0,7,0,4,3,5247257,0,1,0,0,0,57,1,1,1
Bali,Nusa Tenggara,10,0,0,10,145,2,20,123,4216171,2,34,0,0,1,14,2,1,1
DKI Jakarta,Jawa,183,2,59,122,2900,305,339,2256,10846145,17,267,0,28,11,12,2,0,1
Daerah Istimewa Yogyakarta,Jawa,3,0,3,0,71,7,33,31,3631015,1,20,0,2,10,46,2,1,1
Jawa Barat,Jawa,8,6,24,-22,616,88,198,330,45161325,0,14,0,2,14,32,1,2,1
Jawa Tengah,Jawa,104,2,2,100,619,64,103,452,36364072,3,17,0,2,10,17,15,1,1
Jawa Timur,Jawa,10,5,2,3,662,159,731,-228,40479023,0,16,0,4,24,110,2,2,1
Kalimantan Tengah,Kalimantan,7,1,0,6,67,7,48,12,2570289,3,26,0,3,10,72,0,1,1
Kalimantan Timur,Kalimantan,5,0,0,5,66,1,15,50,3552191,1,19,0,0,2,23,1,1,1
Kalimantan Utara,Kalimantan,4,0,0,4,77,1,2,74,648407,6,119,0,2,1,3,1,1,1
Maluku,Maluku,0,0,0,0,17,1,11,5,1847097,0,9,0,1,6,65,1,1,1
Nusa Tenggara Barat,Nusa Tenggara,21,0,0,21,92,4,11,77,5270247,4,17,0,1,4,12,2,0,1
Papua Barat,Papua,0,0,0,0,7,1,1,5,1140701,0,6,0,1,14,14,1,1,1
Riau,Sumatera,1,0,0,1,35,6,11,18,6074100,0,6,0,1,17,31,0,0,1
Sulawesi Tengah,Sulawesi,0,0,1,-1,27,3,3,21,2955567,0,9,0,1,11,11,1,1,1
Sulawesi Tenggara,Sulawesi,0,0,0,0,36,2,4,30,2635461,0,14,0,1,6,11,1,1,1
Sumatera Selatan,Sumatera,0,0,0,0,89,3,4,82,8217551,0,11,0,0,3,4,1,1,1
Sumatera Utara,Sumatera,1,0,0,1,84,10,24,50,14874889,0,6,0,1,12,29,0,0,1
Bengkulu,Sumatera,0,0,0,0,8,1,1,6,1999539,0,4,0,0,12,12,0,1,1
DKI Jakarta,Jawa,110,1,8,101,3010,306,347,2357,10846145,10,278,0,28,10,12,1,0,1
Daerah Istimewa Yogyakarta,Jawa,3,0,5,-2,74,7,38,29,3631015,1,20,0,2,9,51,1,1,1
Gorontalo,Sulawesi,0,0,0,0,7,1,0,6,1180651,0,6,0,1,14,0,0,0,1
