Province,Island,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Population,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate (%),Case Recovered Rate (%),Growth Factor of New Cases,Growth Factor of New Deaths,Cluster
Sumatera Barat,Sumatera,1006,8,340,658,60071,1321,50900,7850,5519245,182,10884,1,239,2,85,1,2,1
Sumatera Selatan,Sumatera,689,16,258,415,35619,1653,28736,5230,8217551,84,4334,2,201,5,81,1,2,1
Sumatera Utara,Sumatera,936,9,175,752,42721,1296,34958,6467,14874889,63,2872,1,87,3,82,1,1,1
Aceh,Sumatera,69,13,39,17,20887,913,16084,3890,5247257,13,3981,2,174,4,77,1,3,1
Bali,Nusa Tenggara,1019,23,529,467,60235,1748,51647,6840,4216171,242,14287,5,415,3,86,1,1,1
Banten,Jawa,3424,12,468,2944,84574,1546,55108,27920,10722374,319,7888,1,144,2,65,1,1,1
DKI Jakarta,Jawa,10168,67,11610,-1509,737181,10008,615630,111543,10846145,937,67967,6,923,1,84,1,1,1
Daerah Istimewa Yogyakarta,Jawa,2522,85,1068,1369,89965,2339,61645,25981,3631015,695,24777,23,644,3,69,2,1,1
Gorontalo,Sulawesi,53,1,25,27,6690,196,5781,713,1180651,45,5666,1,166,3,86,0,0,1
Jambi,Sumatera,302,2,55,245,15999,309,12706,2984,3493357,86,4580,1,88,2,79,1,0,1
Jawa Barat,Jawa,9234,84,5439,3711,511263,7489,399049,104725,45161325,204,11321,2,166,1,78,1,1,1
Jawa Tengah,Jawa,5019,250,1679,3090,317866,14560,242446,60860,36364072,138,8741,7,400,5,76,1,1,1
Jawa Timur,Jawa,6920,284,2707,3929,233442,15820,177029,40593,40479023,171,5767,7,391,7,76,1,1,1
Kalimantan Selatan,Kalimantan,644,6,87,551,39729,1135,35426,3168,4023049,160,9875,1,282,3,89,2,1,1
Kalimantan Tengah,Kalimantan,376,1,5,370,30042,572,21673,7797,2570289,146,11688,0,223,2,72,1,1,1
Kalimantan Timur,Kalimantan,1667,38,669,960,95048,2343,77779,14926,3552191,469,26758,11,660,2,82,1,1,1
Kalimantan Utara,Kalimantan,348,6,111,231,16002,240,12950,2812,648407,537,24679,9,370,2,81,2,2,1
Kepulauan Bangka Belitung,Sumatera,486,15,157,314,26469,445,22099,3925,1379767,352,19184,11,323,2,83,1,1,1
Kepulauan Riau,Sumatera,892,37,192,663,35653,793,27300,7560,1929400,462,18479,19,411,2,77,1,3,1
Lampung,Sumatera,448,2,77,369,27331,1242,20614,5475,9095591,49,3005,0,137,5,75,1,0,1
Maluku,Maluku,78,4,44,30,12058,188,7891,3979,1847097,42,6528,2,102,2,65,1,4,1
Nusa Tenggara Barat,Nusa Tenggara,379,8,218,153,15998,528,13120,2350,5270247,72,3036,2,100,3,82,2,2,1
